City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
202,Borba,BR,73.51,light rain,-4.3878,-59.5939,Hotel da Amazônia
205,Sainte-Suzanne,RE,80.82,moderate rain,-20.9061,55.6089,Gites Ango
206,Acajutla,SV,79.81,scattered clouds,13.5928,-89.8275,Laureles
209,Celestun,MX,74.55,clear sky,20.8667,-90.4,Posada Lilia
213,Kavieng,PG,83.88,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
214,Pathein,MM,77.92,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
217,Jeremie,HT,76.33,clear sky,18.65,-74.1167,Auberge’Inn
222,Tonj,SS,75.38,broken clouds,7.2737,28.6822,Lakan Hotel
223,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
230,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
231,Mana,GF,76.75,overcast clouds,5.6592,-53.7767,LE SAMANA
236,Mahanoro,MG,75.25,heavy intensity rain,-19.9,48.8,BUNGALOW MAHAMANINA
240,Balabac,PH,80.65,heavy intensity rain,7.9868,117.0645,Batalla’s Lodging House
243,Port Keats,AU,85.8,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
247,Bonthe,SL,75.43,clear sky,7.5264,-12.505,Bonthe Holiday Village
251,Tual,ID,83.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
253,Santa Maria,BR,76.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
255,Cidreira,BR,73.0,few clouds,-30.1811,-50.2056,Hotel Castelo
260,Moerai,PF,79.05,scattered clouds,-22.4333,-151.3333,Le Manotel
264,Kloulklubed,PW,81.1,clear sky,7.0419,134.2556,Storyboard Beach Resort
266,Phan Thiet,VN,82.71,overcast clouds,10.9333,108.1,Hotel Saigon-PT
274,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
278,Mandera,KE,73.96,scattered clouds,3.9366,41.867,Mwalimu Guest mandera
291,Meulaboh,ID,77.88,moderate rain,4.1363,96.1285,Kost Pria
292,Uberaba,BR,79.38,scattered clouds,-19.7483,-47.9319,Tamareiras Park Hotel
294,Harper,LR,78.66,light rain,4.375,-7.7169,Screensaver
295,Caravelas,BR,75.79,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
298,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
316,Port Macquarie,AU,75.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
317,Ambilobe,MG,75.42,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
320,Ballina,AU,76.96,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
322,Poco Verde,BR,72.9,scattered clouds,-10.7083,-38.1833,Hotel Santa Cruz
327,Santiago,CL,73.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
330,Jupiter,US,74.05,clear sky,26.9342,-80.0942,Jupiter Beach Resort & Spa
341,Itarema,BR,79.05,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
352,Labuhan,ID,83.05,scattered clouds,-6.8844,112.2051,DoubleFAG
353,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
354,Diamantino,BR,73.38,broken clouds,-14.4086,-56.4461,Hotel Delta
356,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
359,Santarem,BR,75.33,clear sky,-2.4431,-54.7083,Ecotur Lodge
361,Honiara,SB,86.41,overcast clouds,-9.4333,159.95,Heritage Park Hotel
366,Tete,MZ,75.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
368,The Valley,AI,73.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
369,Nabire,ID,85.78,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
371,Barra Do Garcas,BR,74.8,overcast clouds,-15.89,-52.2567,Pousada Tropical
378,Bowen,AU,84.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
379,Byron Bay,AU,77.05,light rain,-28.65,153.6167,Backpackers Inn
380,Ovalle,CL,73.15,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
384,Kupang,ID,83.26,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
386,Sibolga,ID,77.45,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
387,Port-Gentil,GA,79.43,broken clouds,-0.7193,8.7815,Fengshui Residence
394,Paragominas,BR,72.34,moderate rain,-2.9667,-47.4833,INOVA
395,Buchanan,LR,78.57,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
398,Malakal,SS,72.48,overcast clouds,9.5334,31.6605,Nile Palace Hotel
403,Sinnamary,GF,76.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
404,Kavaratti,IN,77.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
405,Benguela,AO,73.94,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
406,Vanimo,PG,85.6,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
408,Limon,CR,76.53,clear sky,10.0,-83.0333,Hotel Playa Bonita
409,Phetchaburi,TH,80.29,broken clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
416,Muli,MV,81.91,clear sky,2.9167,73.5667,Medhufushi Island Resort
420,Muriwai Beach,NZ,78.8,broken clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
428,Monrovia,LR,78.42,few clouds,6.3005,-10.7969,Sunset Inn
431,Kirakira,SB,84.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
434,Vao,NC,80.28,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
439,Moron,AR,74.95,light rain,-34.6534,-58.6198,Hotel Morón
445,Salinopolis,BR,77.56,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
447,Pangkalanbuun,ID,83.1,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
449,Tabou,CI,79.29,few clouds,4.423,-7.3528,hotêl doufoulougou
454,Amuntai,ID,83.34,overcast clouds,-2.4177,115.2494,Hotel Balqis
459,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
460,Inongo,CD,73.8,overcast clouds,-1.95,18.2667,Hotel Du Lac
462,Luwuk,ID,86.25,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
464,Kokopo,PG,86.68,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
468,Yeppoon,AU,83.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
472,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
474,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
475,Carlagan,PH,79.52,overcast clouds,14.975,122.0456,Cabatagan Island
479,Toamasina,MG,82.4,broken clouds,-18.1667,49.3833,Hotel H1
484,Kieta,PG,86.38,light rain,-6.2167,155.6333,Uruna Bay Retreat
485,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
491,Omboue,GA,77.0,overcast clouds,-1.5746,9.2618,Hotel Olako
492,Acarau,BR,78.73,scattered clouds,-2.8856,-40.12,castelo pizzaria
