City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Spruce Grove,CA,53.5334,-113.9187,35.65,79,75,8.05,broken clouds
140,Jatai,BR,-17.8814,-51.7144,71.17,89,98,4.03,overcast clouds
141,Khatanga,RU,71.9667,102.5,-35.9,100,87,2.66,overcast clouds
142,Lewiston,US,44.1003,-70.2148,18.84,91,100,12.66,snow
143,Ribeira Grande,PT,38.5167,-28.7,59.02,81,27,14.43,scattered clouds
144,Alta Floresta,BR,-9.8756,-56.0861,72.81,94,53,3.47,broken clouds
145,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,20,16.11,few clouds
146,Gazli,UZ,40.1333,63.45,43.21,37,98,16.31,overcast clouds
147,Udachnyy,RU,66.4167,112.4,-34.71,100,70,3.6,broken clouds
148,Nola,IT,40.922,14.5329,56.93,78,88,2.66,overcast clouds
149,Namibe,AO,-15.1961,12.1522,70.79,70,16,6.55,few clouds
150,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.23,85,98,21.61,overcast clouds
151,Aginskoye,RU,51.1,114.53,3.83,83,30,12.86,scattered clouds
152,Bukama,CD,-9.2,25.85,64.15,99,100,0.81,overcast clouds
153,Bengkulu,ID,-3.8004,102.2655,74.84,90,100,3.42,overcast clouds
154,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,14.97,moderate rain
155,Port Lincoln,AU,-34.7333,135.8667,71.98,63,6,11.23,clear sky
156,Coihaique,CL,-45.5752,-72.0662,60.75,59,0,3.44,clear sky
157,Provideniya,RU,64.3833,-173.3,2.71,63,2,9.22,clear sky
158,Longyearbyen,SJ,78.2186,15.6401,15.64,57,40,25.32,scattered clouds
159,Dikson,RU,73.5069,80.5464,-1.34,93,100,5.73,overcast clouds
160,Chapais,CA,49.7834,-74.8492,-11.42,95,100,3.71,overcast clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,80,0,7.0,clear sky
162,Talnakh,RU,69.4865,88.3972,-6.95,97,91,4.97,overcast clouds
163,Yar-Sale,RU,66.8333,70.8333,1.67,99,94,5.61,overcast clouds
164,Olinda,BR,-8.0089,-34.8553,82.13,65,40,6.91,scattered clouds
165,Jati,PK,24.3539,68.2671,61.05,57,0,4.9,clear sky
166,Bilma,NE,18.6853,12.9164,56.12,24,2,4.68,clear sky
167,Sitka,US,57.0531,-135.33,42.69,87,100,8.05,mist
